,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,Red Notice,2021,PG-13,118,"Action, Adventure, Comedy",6.4,39,An Interpol agent tracks the world's most wanted art thief.,"Director:RawsonMarshallThurber|Stars:DwayneJohnson,RyanReynolds,GalGadot,RituArya",138513
1,Jungle Cruise,2021,PG-13,127,"Action, Adventure, Comedy",6.6,50,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,"Director:JaumeCollet-Serra|Stars:DwayneJohnson,EmilyBlunt,EdgarRamírez,JackWhitehall",143994
2,Ghostbusters,1984,PG,105,"Action, Comedy, Fantasy",7.8,71,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.","Director:IvanReitman|Stars:BillMurray,DanAykroyd,SigourneyWeaver,HaroldRamis",384213
3,Cowboy Bebop,1998–1999,TV-14,24,"Animation, Action, Adventure",8.9,NA,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Stars:KôichiYamadera,UnshôIshizuka,MegumiHayashibara,SteveBlum",103536
4,Free Guy,2021,PG-13,115,"Action, Adventure, Comedy",7.2,62,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","Director:ShawnLevy|Stars:RyanReynolds,JodieComer,TaikaWaititi,LilRelHowery",218636
5,Home Sweet Home Alone,2021,PG,93,"Action, Comedy, Family",3.5,NA,A married couple tries to steal back a valuable heirloom from a troublesome kid.,"Director:DanMazer|Stars:EllieKemper,RobDelaney,ArchieYates,AislingBea",8796
6,Army of Thieves,2021,TV-MA,127,"Action, Comedy, Crime",6.4,49,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.","Director:MatthiasSchweighöfer|Stars:MatthiasSchweighöfer,NathalieEmmanuel,RubyO.Fee,StuartMartin",48617
7,DC League of Super-Pets,2022,NA,NA,"Animation, Action, Adventure",NA,NA,Superman's dog teams up with a flying cat to stop crime while Superman is on vacation.,"Directors:JaredStern,SamLevine|Stars:DwayneJohnson,KevinHart,KateMcKinnon,JohnKrasinski",
8,The Suicide Squad,2021,R,132,"Action, Adventure, Comedy",7.3,72,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","Director:JamesGunn|Stars:MargotRobbie,IdrisElba,JohnCena,JoelKinnaman",255114
9,Masters of the Universe: Revelation,2021– ,TV-PG,25,"Animation, Action, Adventure",5.2,NA,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Stars:ChrisWood,SarahMichelleGellar,LenaHeadey,MarkHamill",23905
10,One Piece,1999– ,TV-14,24,"Animation, Action, Adventure",8.8,NA,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Stars:MayumiTanaka,TonyBeck,LaurentVernin,AkemiOkamura",89013
11,Ghostbusters II,1989,PG,108,"Action, Comedy, Fantasy",6.6,56,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.,"Director:IvanReitman|Stars:BillMurray,DanAykroyd,SigourneyWeaver,HaroldRamis",194546
12,The King's Man,2021,R,131,"Action, Adventure, Comedy",NA,NA,"In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.","Director:MatthewVaughn|Stars:RalphFiennes,HarrisDickinson,GemmaArterton,DjimonHounsou",
