,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,The Wheel of Time,2021– ,TV-14,60,"Action, Adventure, Drama",7.5,NA,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan.","Stars:RosamundPike,DanielHenney,MadeleineMadden,ZoëRobins",29660
1,Arcane,2021– ,TV-14,41,"Animation, Action, Adventure",9.3,NA,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","Stars:KevinAlejandro,JasonSpisak,HaileeSteinfeld,HarryLloyd",73711
2,Hawkeye,2021,TV-14,60,"Action, Adventure, Crime",8.1,NA,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate M. Bishop, who took on the role after the original Avenger, Clint Barton.","Stars:JeremyRenner,HaileeSteinfeld,FlorencePugh,TonyDalton",13629
3,Cowboy Bebop,2021– ,TV-MA,58,"Action, Adventure, Crime",6.7,NA,A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world - for the right price.,"Stars:JohnCho,MustafaShakir,DaniellaPineda,ElenaSatine",18402
4,Red Notice,2021,PG-13,118,"Action, Adventure, Comedy",6.4,39,An Interpol agent tracks the world's most wanted art thief.,"Director:RawsonMarshallThurber|Stars:DwayneJohnson,RyanReynolds,GalGadot,RituArya",138513
5,Spider-Man: No Way Home,2021,NA,NA,"Action, Adventure, Sci-Fi",NA,NA,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Director:JonWatts|Stars:Zendaya,BenedictCumberbatch,TomHolland,MarisaTomei",
6,Dune,2021,PG-13,155,"Action, Adventure, Drama",8.2,74,"Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.","Director:DenisVilleneuve|Stars:TimothéeChalamet,RebeccaFerguson,Zendaya,OscarIsaac",358330
7,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,132,"Action, Adventure, Fantasy",7.6,71,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","Director:DestinDanielCretton|Stars:SimuLiu,Awkwafina,TonyChiu-WaiLeung,BenKingsley",220911
8,No Time to Die,2021,PG-13,163,"Action, Adventure, Thriller",7.4,68,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","Director:CaryJojiFukunaga|Stars:DanielCraig,AnadeArmas,RamiMalek,LéaSeydoux",217333
9,Eternals,2021,PG-13,156,"Action, Adventure, Fantasy",6.8,52,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","Director:ChloéZhao|Stars:GemmaChan,RichardMadden,AngelinaJolie,SalmaHayek",110248
10,Venom: Let There Be Carnage,2021,PG-13,97,"Action, Adventure, Sci-Fi",6.1,48,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.","Director:AndySerkis|Stars:TomHardy,WoodyHarrelson,MichelleWilliams,NaomieHarris",96084
11,Resident Evil: Welcome to Raccoon City,2021,R,107,"Action, Horror, Sci-Fi",5.6,NA,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.","Director:JohannesRoberts|Stars:KayaScodelario,RobbieAmell,HannahJohn-Kamen,NealMcDonough",3414
12,Squid Game,2021– ,TV-MA,55,"Action, Drama, Mystery",8.1,NA,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.","Stars:LeeJung-jae,ParkHae-soo,WiHa-Joon,JungHoyeon",327159
13,Game of Thrones,2011–2019,TV-MA,57,"Action, Adventure, Drama",9.2,NA,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Stars:EmiliaClarke,PeterDinklage,KitHarington,LenaHeadey",1906599
14,The Matrix Resurrections,2021,R,148,"Action, Sci-Fi",NA,NA,The plot is currently unknown.,"Director:LanaWachowski|Stars:KeanuReeves,ChristinaRicci,PriyankaChopraJonas,Carrie-AnneMoss",
15,Jungle Cruise,2021,PG-13,127,"Action, Adventure, Comedy",6.6,50,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,"Director:JaumeCollet-Serra|Stars:DwayneJohnson,EmilyBlunt,EdgarRamírez,JackWhitehall",143994
16,The Harder They Fall,2021,R,139,"Action, Drama, Western",6.6,68,"When an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge in this Western.","Director:JeymesSamuel|Stars:JonathanMajors,ZazieBeetz,RJCyler,EdiGathegi",38922
17,Ghostbusters,1984,PG,105,"Action, Comedy, Fantasy",7.8,71,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.","Director:IvanReitman|Stars:BillMurray,DanAykroyd,SigourneyWeaver,HaroldRamis",384213
18,The Last Duel,2021,R,152,"Action, Drama, History",7.7,67,King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,"Director:RidleyScott|Stars:MattDamon,AdamDriver,JodieComer,HarrietWalter",25132
19,Cowboy Bebop,1998–1999,TV-14,24,"Animation, Action, Adventure",8.9,NA,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Stars:KôichiYamadera,UnshôIshizuka,MegumiHayashibara,SteveBlum",103536
20,Free Guy,2021,PG-13,115,"Action, Adventure, Comedy",7.2,62,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","Director:ShawnLevy|Stars:RyanReynolds,JodieComer,TaikaWaititi,LilRelHowery",218636
21,Hanna,2019–2021,TV-MA,60,"Action, Drama",7.6,NA,"In equal parts high-concept thriller and coming-of-age drama, HANNA follows the journey of an extraordinary young girl raised in the forest, as she evades the relentless pursuit of an off-book CIA agent and tries to unearth the truth behind who she is.","Stars:EsmeCreed-Miles,MireilleEnos,ÁineRoseDaly,CherrelleSkeete",30827
22,Nightmare Alley,2021,R,150,"Action, Crime, Drama",NA,NA,An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,"Director:GuillermodelToro|Stars:RooneyMara,BradleyCooper,CateBlanchett,WillemDafoe",
23,Home Sweet Home Alone,2021,PG,93,"Action, Comedy, Family",3.5,NA,A married couple tries to steal back a valuable heirloom from a troublesome kid.,"Director:DanMazer|Stars:EllieKemper,RobDelaney,ArchieYates,AislingBea",8796
24,The Witcher,2019– ,TV-MA,60,"Action, Adventure, Drama",8.2,NA,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Stars:HenryCavill,AnnaShaffer,FreyaAllan,SimonCallow",365484
25,Army of Thieves,2021,TV-MA,127,"Action, Comedy, Crime",6.4,49,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.","Director:MatthiasSchweighöfer|Stars:MatthiasSchweighöfer,NathalieEmmanuel,RubyO.Fee,StuartMartin",48617
26,Star Trek: Discovery,2017– ,TV-14,60,"Action, Adventure, Drama",7.2,NA,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.","Stars:SonequaMartin-Green,DougJones,AnthonyRapp,MaryWiseman",105912
27,The Lost Symbol,2021– ,TV-PG,NA,"Action, Adventure, Drama",6.6,NA,"Based on the 2009 Dan Brown novel of the same name, The Lost Symbol is the story of a young Robert Langdon (Ashley Zukerman) being tasked by the CIA to solve a number of puzzles when his mentor (Eddie Izzard) is taken.","Stars:AshleyZukerman,EddieIzzard,ValorieCurry,BeauKnapp",6454
28,The Mandalorian,2019– ,TV-14,40,"Action, Adventure, Fantasy",8.8,NA,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Stars:PedroPascal,CarlWeathers,BarryLowin,GinaCarano",371183
29,The Flash,2014– ,TV-PG,43,"Action, Adventure, Drama",7.6,NA,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","Stars:GrantGustin,CandicePatton,DaniellePanabaker,CarlosValdes",328176
30,Dune,1984,PG-13,137,"Action, Adventure, Sci-Fi",6.4,41,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,"Director:DavidLynch|Stars:KyleMacLachlan,VirginiaMadsen,FrancescaAnnis,LeonardoCimino",153095
31,NCIS,2003– ,TV-14,60,"Action, Crime, Drama",7.7,NA,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","Stars:MarkHarmon,DavidMcCallum,SeanMurray,PauleyPerrette",133495
32,Black Widow,2021,PG-13,134,"Action, Adventure, Sci-Fi",6.7,67,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"Director:CateShortland|Stars:ScarlettJohansson,FlorencePugh,DavidHarbour,RachelWeisz",288107
33,Jurassic World: Dominion,2022,NA,NA,"Action, Adventure, Sci-Fi",NA,NA,Plot kept under wraps.,"Director:ColinTrevorrow|Stars:DaniellaPineda,BryceDallasHoward,ChrisPratt,JeffGoldblum",
