,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,The Wheel of Time,2021– ,TV-14,60,"Action, Adventure, Drama",7.5,NA,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan.","Stars:RosamundPike,DanielHenney,MadeleineMadden,ZoëRobins",29660
1,Arcane,2021– ,TV-14,41,"Animation, Action, Adventure",9.3,NA,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","Stars:KevinAlejandro,JasonSpisak,HaileeSteinfeld,HarryLloyd",73711
2,Hawkeye,2021,TV-14,60,"Action, Adventure, Crime",8.1,NA,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate M. Bishop, who took on the role after the original Avenger, Clint Barton.","Stars:JeremyRenner,HaileeSteinfeld,FlorencePugh,TonyDalton",13629
3,Cowboy Bebop,2021– ,TV-MA,58,"Action, Adventure, Crime",6.7,NA,A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world - for the right price.,"Stars:JohnCho,MustafaShakir,DaniellaPineda,ElenaSatine",18402
4,Ghostbusters: Afterlife,2021,PG-13,124,"Adventure, Comedy, Fantasy",7.7,59,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","Director:JasonReitman|Stars:CarrieCoon,PaulRudd,FinnWolfhard,MckennaGrace",31243
5,Red Notice,2021,PG-13,118,"Action, Adventure, Comedy",6.4,39,An Interpol agent tracks the world's most wanted art thief.,"Director:RawsonMarshallThurber|Stars:DwayneJohnson,RyanReynolds,GalGadot,RituArya",138513
6,Spider-Man: No Way Home,2021,NA,NA,"Action, Adventure, Sci-Fi",NA,NA,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Director:JonWatts|Stars:Zendaya,BenedictCumberbatch,TomHolland,MarisaTomei",
7,Dune,2021,PG-13,155,"Action, Adventure, Drama",8.2,74,"Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.","Director:DenisVilleneuve|Stars:TimothéeChalamet,RebeccaFerguson,Zendaya,OscarIsaac",358330
8,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,132,"Action, Adventure, Fantasy",7.6,71,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","Director:DestinDanielCretton|Stars:SimuLiu,Awkwafina,TonyChiu-WaiLeung,BenKingsley",220911
9,No Time to Die,2021,PG-13,163,"Action, Adventure, Thriller",7.4,68,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","Director:CaryJojiFukunaga|Stars:DanielCraig,AnadeArmas,RamiMalek,LéaSeydoux",217333
10,Eternals,2021,PG-13,156,"Action, Adventure, Fantasy",6.8,52,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","Director:ChloéZhao|Stars:GemmaChan,RichardMadden,AngelinaJolie,SalmaHayek",110248
11,Venom: Let There Be Carnage,2021,PG-13,97,"Action, Adventure, Sci-Fi",6.1,48,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.","Director:AndySerkis|Stars:TomHardy,WoodyHarrelson,MichelleWilliams,NaomieHarris",96084
12,Encanto,2021,PG,99,"Animation, Adventure, Comedy",7.7,NA,A young Colombian girl has to face the frustration of being the only member of her family without magical powers.,"Directors:JaredBush,ByronHoward,ChariseCastroSmith|Stars:StephanieBeatriz,MaríaCeciliaBotero,JohnLeguizamo,MauroCastillo",5604
13,Game of Thrones,2011–2019,TV-MA,57,"Action, Adventure, Drama",9.2,NA,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Stars:EmiliaClarke,PeterDinklage,KitHarington,LenaHeadey",1906599
14,Jungle Cruise,2021,PG-13,127,"Action, Adventure, Comedy",6.6,50,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,"Director:JaumeCollet-Serra|Stars:DwayneJohnson,EmilyBlunt,EdgarRamírez,JackWhitehall",143994
15,Doctor Who,2005– ,TV-PG,45,"Adventure, Drama, Family",8.6,NA,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Stars:JodieWhittaker,PeterCapaldi,PearlMackie,MattSmith",211119
16,Cowboy Bebop,1998–1999,TV-14,24,"Animation, Action, Adventure",8.9,NA,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Stars:KôichiYamadera,UnshôIshizuka,MegumiHayashibara,SteveBlum",103536
17,Free Guy,2021,PG-13,115,"Action, Adventure, Comedy",7.2,62,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","Director:ShawnLevy|Stars:RyanReynolds,JodieComer,TaikaWaititi,LilRelHowery",218636
18,A Boy Called Christmas,2021,PG,106,"Adventure, Drama, Family",6.8,NA,"In this origin story of Father Christmas, an ordinary boy (with a loyal pet mouse and a reindeer at his side) sets out on an extraordinary adventure to find his father who is on a quest to discover the fabled village of Elfhelm.","Director:GilKenan|Stars:MaggieSmith,IsabellaO'Sullivan,JoelFry,EdenLawrence",3913
19,Finch,2021,PG-13,115,"Adventure, Drama, Sci-Fi",6.9,56,"On a post-apocalyptic earth, a robot, built to protect the life of his creator's beloved dog, learns about life, love, friendship and what it means to be human.","Director:MiguelSapochnik|Stars:TomHanks,CalebLandryJones,MarieWagenman,LoraMartinez-Cunningham",46435
20,The Witcher,2019– ,TV-MA,60,"Action, Adventure, Drama",8.2,NA,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Stars:HenryCavill,AnnaShaffer,FreyaAllan,SimonCallow",365484
21,Star Trek: Discovery,2017– ,TV-14,60,"Action, Adventure, Drama",7.2,NA,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.","Stars:SonequaMartin-Green,DougJones,AnthonyRapp,MaryWiseman",105912
22,The Lost Symbol,2021– ,TV-PG,NA,"Action, Adventure, Drama",6.6,NA,"Based on the 2009 Dan Brown novel of the same name, The Lost Symbol is the story of a young Robert Langdon (Ashley Zukerman) being tasked by the CIA to solve a number of puzzles when his mentor (Eddie Izzard) is taken.","Stars:AshleyZukerman,EddieIzzard,ValorieCurry,BeauKnapp",6454
23,The Mandalorian,2019– ,TV-14,40,"Action, Adventure, Fantasy",8.8,NA,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Stars:PedroPascal,CarlWeathers,BarryLowin,GinaCarano",371183
24,The Flash,2014– ,TV-PG,43,"Action, Adventure, Drama",7.6,NA,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","Stars:GrantGustin,CandicePatton,DaniellePanabaker,CarlosValdes",328176
25,Dune,1984,PG-13,137,"Action, Adventure, Sci-Fi",6.4,41,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,"Director:DavidLynch|Stars:KyleMacLachlan,VirginiaMadsen,FrancescaAnnis,LeonardoCimino",153095
26,Clifford the Big Red Dog,2021,PG,96,"Adventure, Comedy, Family",6.0,58,A young girl's love for a tiny puppy named Clifford makes the dog grow to an enormous size.,"Director:WaltBecker|Stars:DarbyCamp,JackWhitehall,IzaacWang,JohnCleese",4420
27,Sing 2,2021,PG,112,"Animation, Adventure, Comedy",7.0,NA,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"Director:GarthJennings|Stars:MatthewMcConaughey,TaronEgerton,ToriKelly,ReeseWitherspoon",414
28,Black Widow,2021,PG-13,134,"Action, Adventure, Sci-Fi",6.7,67,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"Director:CateShortland|Stars:ScarlettJohansson,FlorencePugh,DavidHarbour,RachelWeisz",288107
29,Jurassic World: Dominion,2022,NA,NA,"Action, Adventure, Sci-Fi",NA,NA,Plot kept under wraps.,"Director:ColinTrevorrow|Stars:DaniellaPineda,BryceDallasHoward,ChrisPratt,JeffGoldblum",
30,DC League of Super-Pets,2022,NA,NA,"Animation, Action, Adventure",NA,NA,Superman's dog teams up with a flying cat to stop crime while Superman is on vacation.,"Directors:JaredStern,SamLevine|Stars:DwayneJohnson,KevinHart,KateMcKinnon,JohnKrasinski",
31,The Suicide Squad,2021,R,132,"Action, Adventure, Comedy",7.3,72,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","Director:JamesGunn|Stars:MargotRobbie,IdrisElba,JohnCena,JoelKinnaman",255114
32,Vikings,2013–2020,TV-MA,44,"Action, Adventure, Drama",8.5,NA,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Stars:KatherynWinnick,GustafSkarsgård,AlexanderLudwig,GeorgiaHirst",478745
33,Harry Potter and the Sorcerer's Stone,2001,PG,152,"Adventure, Family, Fantasy",7.6,65,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","Director:ChrisColumbus|Stars:DanielRadcliffe,RupertGrint,RichardHarris,MaggieSmith",711686
