,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,Arcane,2021– ,TV-14,41,"Animation, Action, Adventure",9.3,NA,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","Stars:KevinAlejandro,JasonSpisak,HaileeSteinfeld,HarryLloyd",73711
1,Encanto,2021,PG,99,"Animation, Adventure, Comedy",7.7,NA,A young Colombian girl has to face the frustration of being the only member of her family without magical powers.,"Directors:JaredBush,ByronHoward,ChariseCastroSmith|Stars:StephanieBeatriz,MaríaCeciliaBotero,JohnLeguizamo,MauroCastillo",5604
2,Cowboy Bebop,1998–1999,TV-14,24,"Animation, Action, Adventure",8.9,NA,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Stars:KôichiYamadera,UnshôIshizuka,MegumiHayashibara,SteveBlum",103536
3,Big Mouth,2017– ,TV-MA,30,"Animation, Comedy, Romance",7.9,NA,Teenage friends find their lives upended by the wonders and horrors of puberty.,"Stars:NickKroll,JohnMulaney,JessiKlein,JasonMantzoukas",69185
4,Sing 2,2021,PG,112,"Animation, Adventure, Comedy",7.0,NA,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"Director:GarthJennings|Stars:MatthewMcConaughey,TaronEgerton,ToriKelly,ReeseWitherspoon",414
5,DC League of Super-Pets,2022,NA,NA,"Animation, Action, Adventure",NA,NA,Superman's dog teams up with a flying cat to stop crime while Superman is on vacation.,"Directors:JaredStern,SamLevine|Stars:DwayneJohnson,KevinHart,KateMcKinnon,JohnKrasinski",
6,South Park,1997– ,TV-MA,22,"Animation, Comedy",8.7,NA,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Stars:TreyParker,MattStone,IsaacHayes,MonaMarshall",347630
7,Masters of the Universe: Revelation,2021– ,TV-PG,25,"Animation, Action, Adventure",5.2,NA,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Stars:ChrisWood,SarahMichelleGellar,LenaHeadey,MarkHamill",23905
8,Attack on Titan,2013–2022,TV-MA,24,"Animation, Action, Adventure",9.0,NA,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Stars:YûkiKaji,MarinaInoue,JoshGrelle,YuiIshikawa",261112
9,The Simpsons,1989– ,TV-PG,22,"Animation, Comedy",8.6,NA,The satiric adventures of a working-class family in the misfit city of Springfield.,"Stars:DanCastellaneta,NancyCartwright,HarryShearer,JulieKavner",384939
10,One Piece,1999– ,TV-14,24,"Animation, Action, Adventure",8.8,NA,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Stars:MayumiTanaka,TonyBeck,LaurentVernin,AkemiOkamura",89013
11,Rick and Morty,2013– ,TV-MA,23,"Animation, Adventure, Comedy",9.2,NA,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Stars:JustinRoiland,ChrisParnell,SpencerGrammer,SarahChalke",444640
12,What If...?,2021– ,TV-14,NA,"Animation, Action, Adventure",7.5,NA,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory.","Stars:JeffreyWright,TerriDouglas,MatthewWood,RobinAtkinDownes",68463
13,Family Guy,1999– ,TV-14,22,"Animation, Comedy",8.1,NA,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","Stars:SethMacFarlane,AlexBorstein,SethGreen,MilaKunis",318872
14,F Is for Family,2015–2021,TV-MA,30,"Animation, Comedy, Drama",8.0,NA,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.","Stars:BillBurr,LauraDern,JustinLong,DebiDerryberry",33145
15,Extinct,2021,TV-Y7,84,"Animation, Adventure, Comedy",5.4,NA,Op and Ed accidentally time-travel from the Galapagos Islands in 1835 to present-day Shanghai. They make their way through the city in confusion and make the horrifying discovery that the species to which they belong became extinct shortly after.,"Directors:DavidSilverman,RaymondS.Persi|Stars:AdamDevine,RachelBloom,KenJeong,ZazieBeetz",1469
16,Hit-Monkey,2021– ,TV-MA,22,"Animation, Action, Adventure",8.0,NA,"It tells the tale of a wronged Japanese snow monkey, mentored by the ghost of an American assassin, as he cuts a wide swath through the Tokyo underworld.","Stars:FredTatasciore,JasonSudeikis,OliviaMunn,GeorgeTakei",1463
17,Inside Job,2021– ,TV-MA,30,"Animation, Comedy, Fantasy",7.7,NA,"For employees of the Deep State, conspiracies aren't just theories, they're fact. And keeping them a secret is a full-time job.","Stars:LizzyCaplan,ChristianSlater,ClarkDuke,TishaCampbell",9034
18,Demon Slayer: Kimetsu no Yaiba,2019– ,TV-MA,25,"Animation, Action, Adventure",8.7,NA,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Stars:NatsukiHanae,ZachAguilar,AbbyTrott,AkariKitô",57481
19,Bob's Burgers,2011– ,TV-PG,22,"Animation, Comedy",8.1,NA,Bob Belcher runs his dream restaurant with his wife and three children as their last hope of holding the family together.,"Stars:H.JonBenjamin,DanMintz,EugeneMirman,JohnRoberts",72589
20,Cowboy Bebop: The Movie,2001,TV-14,115,"Animation, Action, Crime",7.9,61,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.","Directors:Shin'ichirôWatanabe,TensaiOkamura,HiroyukiOkiura,YoshiyukiTakei|Stars:BeauBillingslea,MelissaFahn,NicholasGuest,KôichiYamadera",46208
21,Spider-Man: Into the Spider-Verse,2018,PG,117,"Animation, Action, Adventure",8.4,87,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Directors:BobPersichetti,PeterRamsey,RodneyRothman|Stars:ShameikMoore,JakeJohnson,HaileeSteinfeld,MahershalaAli",439292
22,Sing,2016,PG,108,"Animation, Comedy, Family",7.1,59,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","Directors:GarthJennings,ChristopheLourdelet|Stars:MatthewMcConaughey,ReeseWitherspoon,SethMacFarlane,ScarlettJohansson",145171
23,BoJack Horseman,2014–2020,TV-MA,25,"Animation, Comedy, Drama",8.7,NA,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","Stars:WillArnett,AmySedaris,AlisonBrie,AaronPaul",132717
24,Blade Runner: Black Lotus,2021– ,TV-14,NA,"Animation, Action, Crime",5.4,NA,Animated series that takes place 17 years before 'Blade Runner 2049'.,"Stars:JessicaHenwick,WillYunLee,WesBentley,BarkhadAbdi",609
25,The Grinch,2018,PG,85,"Animation, Adventure, Comedy",6.4,51,A grumpy Grinch (Benedict Cumberbatch) plots to ruin Christmas for the village of Whoville.,"Directors:YarrowCheney,ScottMosier|Stars:BenedictCumberbatch,CameronSeely,RashidaJones,PharrellWilliams",61006
26,The Polar Express,2004,G,100,"Animation, Adventure, Comedy",6.6,61,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.","Director:RobertZemeckis|Stars:TomHanks,ChrisCoppola,MichaelJeter,LeslieZemeckis",190084
27,Invincible,2021– ,TV-MA,50,"Animation, Action, Adventure",8.7,NA,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,"Stars:StevenYeun,J.K.Simmons,SandraOh,ZazieBeetz",97039
28,Avatar: The Last Airbender,2005–2008,TV-Y7-FV,23,"Animation, Action, Adventure",9.3,NA,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Stars:DeeBradleyBaker,ZachTylerEisen,MaeWhitman,JackDeSena",277955
