,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,The French Dispatch,2021,R,107,"Comedy, Drama, Romance",7.5,74,"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","Director:WesAnderson|Stars:BenicioDelToro,AdrienBrody,TildaSwinton,LéaSeydoux",31036
1,Love Hard,2021,TV-MA,104,"Comedy, Romance",6.3,42,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in love.","Director:HernanJimenez|Stars:NinaDobrev,JimmyO.Yang,DarrenBarnet,JamesSaito",28590
2,Big Mouth,2017– ,TV-MA,30,"Animation, Comedy, Romance",7.9,NA,Teenage friends find their lives upended by the wonders and horrors of puberty.,"Stars:NickKroll,JohnMulaney,JessiKlein,JasonMantzoukas",69185
3,Friends,1994–2004,TV-PG,22,"Comedy, Romance",8.8,NA,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"Stars:JenniferAniston,CourteneyCox,LisaKudrow,MattLeBlanc",913927
4,Licorice Pizza,2021,R,133,"Comedy, Drama, Romance",8.8,NA,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.","Director:PaulThomasAnderson|Stars:AlanaHaim,CooperHoffman,SeanPenn,TomWaits",504
5,The Big Bang Theory,2007–2019,TV-PG,22,"Comedy, Romance",8.1,NA,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,"Stars:JohnnyGalecki,JimParsons,KaleyCuoco,SimonHelberg",759767
6,Castle,2009–2016,TV-14,43,"Comedy, Crime, Drama",8.1,NA,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.","Stars:NathanFillion,StanaKatic,SusanSullivan,JonHuertas",151256
7,Modern Family,2009–2020,TV-PG,22,"Comedy, Drama, Romance",8.4,NA,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"Stars:EdO'Neill,SofíaVergara,JulieBowen,TyBurrell",392927
8,The Princess Switch 3,2021,TV-PG,106,"Comedy, Drama, Family",5.6,NA,"When a priceless relic is stolen, Queen Margaret and Princess Stacy enlist the help of Margaret's cousin Fiona teams with a man from her past to retrieve it, with romance and resulting in a very unexpected switch.","Director:MikeRohl|Stars:VanessaHudgens,RemyHii,SamPalladio,NickSagar",2331
9,Love Actually,2003,R,135,"Comedy, Drama, Romance",7.6,55,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.","Director:RichardCurtis|Stars:HughGrant,MartineMcCutcheon,LiamNeeson,LauraLinney",451550
10,A Castle for Christmas,2021,TV-G,98,"Adventure, Comedy, Family",5.6,NA,"To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle - and faces off with the grumpy duke who owns it.","Director:MaryLambert|Stars:BrookeShields,CaryElwes,LeeRoss,AndiOsho",2865
11,How I Met Your Mother,2005–2014,TV-14,22,"Comedy, Romance",8.3,NA,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"Stars:JoshRadnor,JasonSegel,CobieSmulders,NeilPatrickHarris",640380
12,Elf,2003,PG,97,"Adventure, Comedy, Family",7.0,64,"Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit.","Director:JonFavreau|Stars:WillFerrell,JamesCaan,BobNewhart,ZooeyDeschanel",242355
13,The Holiday,2006,PG-13,136,"Comedy, Romance",6.9,52,"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.","Director:NancyMeyers|Stars:KateWinslet,CameronDiaz,JudeLaw,JackBlack",266217
14,Bones,2005–2017,TV-14,40,"Comedy, Crime, Drama",7.8,NA,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.","Stars:EmilyDeschanel,DavidBoreanaz,MichaelaConlin,T.J.Thyne",149322
15,This Is Us,2016–2022,TV-14,45,"Comedy, Drama, Romance",8.6,NA,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.","Stars:MiloVentimiglia,MandyMoore,SterlingK.Brown,ChrissyMetz",120870
16,Emily in Paris,2020– ,TV-MA,30,"Comedy, Drama, Romance",7.0,NA,A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.,"Stars:LilyCollins,PhilippineLeroy-Beaulieu,AshleyPark,LucasBravo",61082
17,Two and a Half Men,2003–2015,TV-14,22,"Comedy, Romance",7.0,NA,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,"Stars:JonCryer,AshtonKutcher,AngusT.Jones,ConchataFerrell",251238
18,Dickinson,2019–2021,TV-14,30,"Biography, Comedy, Drama",7.5,NA,An inside look at the world of writer Emily Dickinson.,"Stars:HaileeSteinfeld,AdrianEnscoe,TobyHuss,AnnaBaryshnikov",9698
19,Sex and the City,1998–2004,TV-MA,30,"Comedy, Drama, Romance",7.2,NA,Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.,"Stars:SarahJessicaParker,KimCattrall,KristinDavis,CynthiaNixon",115319
20,Love Life,2020– ,TV-MA,35,"Comedy, Romance",7.5,NA,Anna Kendrick stars in a fresh take on a romantic comedy anthology series about the journey from first love to lasting love.,"Stars:AnnaKendrick,ZoeChao,PeterVack,SashaCompère",11948
21,Bunty Aur Babli 2,2021,NA,138,"Comedy, Romance",3.7,NA,Bunty and Babli are forced out of retirement after a spate of robberies with their trademark sigil start appearing across India.,"Director:VarunV.Sharma|Stars:SaifAliKhan,RaniMukerji,SiddhantChaturvedi,SharvariWagh",1267
22,Last Christmas,2019,PG-13,103,"Comedy, Drama, Fantasy",6.5,50,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.","Director:PaulFeig|Stars:MadisonIngoldsby,EmmaThompson,BorisIsakovic,LucyMiller",64318
23,Crazy Rich Asians,2018,PG-13,120,"Comedy, Drama, Romance",6.9,74,"This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.","Director:JonM.Chu|Stars:ConstanceWu,HenryGolding,MichelleYeoh,GemmaChan",158691
24,Holidate,2020,TV-MA,104,"Comedy, Romance",6.1,44,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.","Director:JohnWhitesell|Stars:EmmaRoberts,LukeBracey,KristinChenoweth,FrancesFisher",55604
25,Mom,2013–2021,TV-14,30,"Comedy, Drama, Romance",7.2,NA,A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.,"Stars:AllisonJanney,AnnaFaris,MimiKennedy,BethHall",32340
26,Marry Me,2022,PG-13,112,"Comedy, Music, Romance",NA,NA,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead.","Director:KatCoiro|Stars:OwenWilson,JenniferLopez,UtkarshAmbudkar,ChloeColeman",
27,A Million Little Things,2018– ,TV-14,43,"Comedy, Drama, Romance",7.9,NA,A group of friends becomes motivated to living fuller lives after the unexpected death of a close friend.,"Stars:DavidGiuntoli,RomanyMalco,AllisonMiller,ChristinaMoses",11461
28,White Christmas,1954,Not Rated,120,"Comedy, Musical, Romance",7.6,56,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,"Director:MichaelCurtiz|Stars:BingCrosby,DannyKaye,RosemaryClooney,Vera-Ellen",37162
