,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,Ghostbusters: Afterlife,2021,PG-13,124,"Adventure, Comedy, Fantasy",7.7,59,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","Director:JasonReitman|Stars:CarrieCoon,PaulRudd,FinnWolfhard,MckennaGrace",31243
1,Red Notice,2021,PG-13,118,"Action, Adventure, Comedy",6.4,39,An Interpol agent tracks the world's most wanted art thief.,"Director:RawsonMarshallThurber|Stars:DwayneJohnson,RyanReynolds,GalGadot,RituArya",138513
2,The Great,2020– ,TV-MA,45,"Biography, Comedy, Drama",8.1,NA,"A royal woman living in rural Russia during the 18th century is forced to choose between her own personal happiness and the future of Russia, when she marries an Emperor.","Stars:ElleFanning,NicholasHoult,PhoebeFox,SachaDhawan",27400
3,Encanto,2021,PG,99,"Animation, Adventure, Comedy",7.7,NA,A young Colombian girl has to face the frustration of being the only member of her family without magical powers.,"Directors:JaredBush,ByronHoward,ChariseCastroSmith|Stars:StephanieBeatriz,MaríaCeciliaBotero,JohnLeguizamo,MauroCastillo",5604
4,Ted Lasso,2020– ,TV-MA,30,"Comedy, Drama, Sport",8.8,NA,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.","Stars:JasonSudeikis,BrettGoldstein,BrendanHunt,NickMohammed",139493
5,Jungle Cruise,2021,PG-13,127,"Action, Adventure, Comedy",6.6,50,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,"Director:JaumeCollet-Serra|Stars:DwayneJohnson,EmilyBlunt,EdgarRamírez,JackWhitehall",143994
6,The French Dispatch,2021,R,107,"Comedy, Drama, Romance",7.5,74,"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","Director:WesAnderson|Stars:BenicioDelToro,AdrienBrody,TildaSwinton,LéaSeydoux",31036
7,The Sex Lives of College Girls,2021– ,TV-MA,39,Comedy,7.0,NA,"Four 18-year-old freshman roommates at Essex College in Vermont. A bundle of contradictions and hormones, these sexually active college girls are equal parts lovable and infuriating.","Stars:PaulineChalamet,AmritKaur,ReneéRapp,AlyahChanelleScott",1520
8,Seinfeld,1989–1998,TV-PG,22,Comedy,8.8,NA,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"Stars:JerrySeinfeld,JuliaLouis-Dreyfus,MichaelRichards,JasonAlexander",281666
9,Ghostbusters,1984,PG,105,"Action, Comedy, Fantasy",7.8,71,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.","Director:IvanReitman|Stars:BillMurray,DanAykroyd,SigourneyWeaver,HaroldRamis",384213
10,8-Bit Christmas,2021,PG,97,"Comedy, Family, Fantasy",6.8,NA,"In 1980s Chicago, a ten-year-old sets out on a quest to get the Christmas gift of his generation - the latest and greatest video game system.","Director:MichaelDowse|Stars:WinslowFegley,NeilPatrickHarris,SteveZahn,JuneDianeRaphael",3350
11,The Office,2005–2013,TV-14,22,Comedy,8.9,NA,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Stars:SteveCarell,JennaFischer,JohnKrasinski,RainnWilson",488937
12,Cowboy Bebop,1998–1999,TV-14,24,"Animation, Action, Adventure",8.9,NA,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Stars:KôichiYamadera,UnshôIshizuka,MegumiHayashibara,SteveBlum",103536
13,Free Guy,2021,PG-13,115,"Action, Adventure, Comedy",7.2,62,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","Director:ShawnLevy|Stars:RyanReynolds,JodieComer,TaikaWaititi,LilRelHowery",218636
14,Love Hard,2021,TV-MA,104,"Comedy, Romance",6.3,42,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in love.","Director:HernanJimenez|Stars:NinaDobrev,JimmyO.Yang,DarrenBarnet,JamesSaito",28590
15,Don't Look Up,2021,R,145,"Comedy, Drama, Sci-Fi",NA,NA,Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy planet Earth.,"Director:AdamMcKay|Stars:TimothéeChalamet,LeonardoDiCaprio,JenniferLawrence,MelanieLynskey",
16,Home Sweet Home Alone,2021,PG,93,"Action, Comedy, Family",3.5,NA,A married couple tries to steal back a valuable heirloom from a troublesome kid.,"Director:DanMazer|Stars:EllieKemper,RobDelaney,ArchieYates,AislingBea",8796
17,Black Friday,III 2021,NA,84,"Comedy, Horror",4.7,NA,A group of toy store employees must protect each other from a horde of parasite infected shoppers.,"Director:CaseyTebo|Stars:DevonSawa,IvanaBaquero,RyanLee,StephenPeck",2113
18,Curb Your Enthusiasm,2000– ,TV-MA,28,Comedy,8.7,NA,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,"Stars:LarryDavid,CherylHines,JeffGarlin,SusieEssman",115370
19,Army of Thieves,2021,TV-MA,127,"Action, Comedy, Crime",6.4,49,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.","Director:MatthiasSchweighöfer|Stars:MatthiasSchweighöfer,NathalieEmmanuel,RubyO.Fee,StuartMartin",48617
20,Home Alone,1990,PG,103,"Comedy, Family",7.6,63,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,"Director:ChrisColumbus|Stars:MacaulayCulkin,JoePesci,DanielStern,JohnHeard",516782
21,Big Mouth,2017– ,TV-MA,30,"Animation, Comedy, Romance",7.9,NA,Teenage friends find their lives upended by the wonders and horrors of puberty.,"Stars:NickKroll,JohnMulaney,JessiKlein,JasonMantzoukas",69185
22,Sex Education,2019– ,TV-MA,45,"Comedy, Drama",8.3,NA,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,"Stars:AsaButterfield,GillianAnderson,EmmaMackey,NcutiGatwa",235994
23,Friends,1994–2004,TV-PG,22,"Comedy, Romance",8.8,NA,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"Stars:JenniferAniston,CourteneyCox,LisaKudrow,MattLeBlanc",913927
24,Christmas Vacation,1989,PG-13,97,Comedy,7.6,49,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,"Director:JeremiahS.Chechik|Stars:ChevyChase,BeverlyD'Angelo,JulietteLewis,JohnnyGalecki",168671
25,"Planes, Trains & Automobiles",1987,R,93,"Comedy, Drama",7.6,72,"A Chicago advertising man must struggle to travel home from New York for Thanksgiving, with a lovable oaf of a shower curtain ring salesman as his only companion.","Director:JohnHughes|Stars:SteveMartin,JohnCandy,LailaRobins,MichaelMcKean",133450
26,Clifford the Big Red Dog,2021,PG,96,"Adventure, Comedy, Family",6.0,58,A young girl's love for a tiny puppy named Clifford makes the dog grow to an enormous size.,"Director:WaltBecker|Stars:DarbyCamp,JackWhitehall,IzaacWang,JohnCleese",4420
27,Sing 2,2021,PG,112,"Animation, Adventure, Comedy",7.0,NA,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"Director:GarthJennings|Stars:MatthewMcConaughey,TaronEgerton,ToriKelly,ReeseWitherspoon",414
28,DC League of Super-Pets,2022,NA,NA,"Animation, Action, Adventure",NA,NA,Superman's dog teams up with a flying cat to stop crime while Superman is on vacation.,"Directors:JaredStern,SamLevine|Stars:DwayneJohnson,KevinHart,KateMcKinnon,JohnKrasinski",
29,Young Sheldon,2017– ,TV-PG,30,Comedy,7.5,NA,Meet a child genius named Sheldon Cooper; (already seen as an adult in The Big Bang Theory (2007)) and his family. Some unique challenges face Sheldon who seems socially impaired.,"Stars:IainArmitage,ZoePerry,LanceBarber,MontanaJordan",45317
30,The Suicide Squad,2021,R,132,"Action, Adventure, Comedy",7.3,72,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","Director:JamesGunn|Stars:MargotRobbie,IdrisElba,JohnCena,JoelKinnaman",255114
31,Licorice Pizza,2021,R,133,"Comedy, Drama, Romance",8.8,NA,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.","Director:PaulThomasAnderson|Stars:AlanaHaim,CooperHoffman,SeanPenn,TomWaits",504
32,The Big Bang Theory,2007–2019,TV-PG,22,"Comedy, Romance",8.1,NA,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,"Stars:JohnnyGalecki,JimParsons,KaleyCuoco,SimonHelberg",759767
33,Castle,2009–2016,TV-14,43,"Comedy, Crime, Drama",8.1,NA,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.","Stars:NathanFillion,StanaKatic,SusanSullivan,JonHuertas",151256
34,It's Always Sunny in Philadelphia,2005– ,TV-MA,22,Comedy,8.8,NA,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,"Stars:CharlieDay,GlennHowerton,RobMcElhenney,KaitlinOlson",204568
35,South Park,1997– ,TV-MA,22,"Animation, Comedy",8.7,NA,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Stars:TreyParker,MattStone,IsaacHayes,MonaMarshall",347630
36,Only Murders in the Building,2021– ,TV-MA,30,"Comedy, Crime, Drama",8.2,NA,Three strangers who share an obsession with true crime suddenly find themselves caught up in one.,"Stars:SteveMartin,MartinShort,SelenaGomez,AaronDominguez",45229
37,Modern Family,2009–2020,TV-PG,22,"Comedy, Drama, Romance",8.4,NA,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"Stars:EdO'Neill,SofíaVergara,JulieBowen,TyBurrell",392927
38,Shameless,2011–2021,TV-MA,46,"Comedy, Drama",8.5,NA,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Stars:EmmyRossum,WilliamH.Macy,EthanCutkosky,JeremyAllenWhite",221238
39,Masters of the Universe: Revelation,2021– ,TV-PG,25,"Animation, Action, Adventure",5.2,NA,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Stars:ChrisWood,SarahMichelleGellar,LenaHeadey,MarkHamill",23905
40,What We Do in the Shadows,2016– ,TV-MA,30,"Comedy, Fantasy, Horror",8.6,NA,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.","Stars:KayvanNovak,MattBerry,NatasiaDemetriou,HarveyGuillén",56754
41,Brooklyn Nine-Nine,2013–2021,TV-14,22,"Comedy, Crime",8.4,NA,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","Stars:AndySamberg,StephanieBeatriz,TerryCrews,MelissaFumero",273068
42,Dhindora,2021– ,TV-MA,25,Comedy,9.8,NA,"It revolves around Bhuvan and his family's everyday lives, when an unexpected purchase leads to a series of events and depicts every common man's larger than life dreams.","Stars:BhuvanBam,GayatriBhardwaj,JeeveshuAhluwalia,AnkurPathak",97223
43,The Princess Switch 3,2021,TV-PG,106,"Comedy, Drama, Family",5.6,NA,"When a priceless relic is stolen, Queen Margaret and Princess Stacy enlist the help of Margaret's cousin Fiona teams with a man from her past to retrieve it, with romance and resulting in a very unexpected switch.","Director:MikeRohl|Stars:VanessaHudgens,RemyHii,SamPalladio,NickSagar",2331
44,Love Actually,2003,R,135,"Comedy, Drama, Romance",7.6,55,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.","Director:RichardCurtis|Stars:HughGrant,MartineMcCutcheon,LiamNeeson,LauraLinney",451550
45,A Castle for Christmas,2021,TV-G,98,"Adventure, Comedy, Family",5.6,NA,"To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle - and faces off with the grumpy duke who owns it.","Director:MaryLambert|Stars:BrookeShields,CaryElwes,LeeRoss,AndiOsho",2865
46,The Simpsons,1989– ,TV-PG,22,"Animation, Comedy",8.6,NA,The satiric adventures of a working-class family in the misfit city of Springfield.,"Stars:DanCastellaneta,NancyCartwright,HarryShearer,JulieKavner",384939
47,Suits,2011–2019,TV-14,44,"Comedy, Drama",8.4,NA,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","Stars:GabrielMacht,PatrickJ.Adams,MeghanMarkle,SarahRafferty",383844
48,Cruella,2021,PG-13,134,"Adventure, Comedy, Crime",7.4,59,A live-action prequel feature film following a young Cruella de Vil.,"Director:CraigGillespie|Stars:EmmaStone,EmmaThompson,JoelFry,PaulWalterHauser",192357
