,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,Hawkeye,2021,TV-14,60,"Action, Adventure, Crime",8.1,NA,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate M. Bishop, who took on the role after the original Avenger, Clint Barton.","Stars:JeremyRenner,HaileeSteinfeld,FlorencePugh,TonyDalton",13629
1,Cowboy Bebop,2021– ,TV-MA,58,"Action, Adventure, Crime",6.7,NA,A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world - for the right price.,"Stars:JohnCho,MustafaShakir,DaniellaPineda,ElenaSatine",18402
2,House of Gucci,2021,R,158,"Crime, Drama",7.0,NA,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.","Director:RidleyScott|Stars:LadyGaga,AdamDriver,AlPacino,JeremyIrons",13115
3,Red Notice,2021,PG-13,118,"Action, Adventure, Comedy",6.4,39,An Interpol agent tracks the world's most wanted art thief.,"Director:RawsonMarshallThurber|Stars:DwayneJohnson,RyanReynolds,GalGadot,RituArya",138513
4,Hellbound,2021– ,TV-MA,150,"Crime, Drama, Fantasy",6.7,NA,"People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them.","Stars:YooAh-in,KimHyun-joo,JeongMinPark,Jin-ahWon",9292
5,Dexter: New Blood,2021– ,TV-MA,NA,"Crime, Drama, Mystery",9.0,NA,"Set 10 years after Dexter Morgan went missing in the eye of Hurricane Laura, he is now living under an assumed name in Upstate New York, Iron Lake, far from his original home in Miami.","Stars:JuliaJones,JohnnySequoyah,JenniferCarpenter,MichaelC.Hall",16366
6,True Story,III 2021,TV-MA,260,"Crime, Drama, Thriller",7.7,NA,A tour stop in Kid's hometown of Philadelphia becomes a matter of life and death for one of the world's most famous comedians.,"Stars:KevinHart,WesleySnipes,WilliamCatlett,PaulAdelstein",4641
7,Jai Bhim,2021,NA,164,"Crime, Drama",9.5,NA,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Director:T.J.Gnanavel|Stars:Suriya,LijoMolJose,Manikandan,RajishaVijayan",146802
8,You,2018– ,TV-MA,45,"Crime, Drama, Romance",7.7,NA,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","Stars:PennBadgley,VictoriaPedretti,AmbyrChilders,ElizabethLail",205298
9,Dexter,2006–2013,TV-MA,53,"Crime, Drama, Mystery",8.6,NA,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","Stars:MichaelC.Hall,JenniferCarpenter,DavidZayas,JamesRemar",688352
10,Mayor of Kingstown,2021– ,TV-MA,NA,"Crime, Drama, Thriller",7.8,NA,"The McLusky family are power brokers tackling themes of systemic racism, corruption and inequality in Kingstown, Michigan--where the business of incarceration is the only thriving industry.","Stars:JeremyRenner,DianneWiest,HughDillon,TaylorHandley",2804
11,Narcos: Mexico,2018–2021,TV-MA,50,"Crime, Drama",8.4,NA,The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.,"Stars:ScootMcNairy,JoséMaríaYazpik,AlejandroEdda,AlfonsoDosal",74285
12,Dhamaka,2021,TV-14,103,"Crime, Drama, Thriller",7.9,NA,"Reassigned from TV to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air.","Director:RamMadhvani|Stars:KartikAaryan,MrunalThakur,AmrutaSubhash,VikasKumar",33052
13,Nightmare Alley,2021,R,150,"Action, Crime, Drama",NA,NA,An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,"Director:GuillermodelToro|Stars:RooneyMara,BradleyCooper,CateBlanchett,WillemDafoe",
14,Army of Thieves,2021,TV-MA,127,"Action, Comedy, Crime",6.4,49,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.","Director:MatthiasSchweighöfer|Stars:MatthiasSchweighöfer,NathalieEmmanuel,RubyO.Fee,StuartMartin",48617
15,Peaky Blinders,2013– ,TV-MA,60,"Crime, Drama",8.8,NA,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Stars:CillianMurphy,PaulAnderson,HelenMcCrory,SophieRundle",427477
16,The Sopranos,1999–2007,TV-MA,55,"Crime, Drama",9.2,NA,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","Stars:JamesGandolfini,LorraineBracco,EdieFalco,MichaelImperioli",348552
17,Breaking Bad,2008–2013,TV-MA,49,"Crime, Drama, Thriller",9.4,NA,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"Stars:BryanCranston,AaronPaul,AnnaGunn,BetsyBrandt",1613650
18,The Blacklist,2013– ,TV-14,43,"Crime, Drama, Mystery",8.0,NA,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","Stars:JamesSpader,MeganBoone,DiegoKlattenhoff,RyanEggold",225020
19,The Sinner,2017–2021,TV-MA,45,"Crime, Drama, Mystery",7.9,NA,Anthology series that examines how and why ordinary people commit brutal crimes.,"Stars:BillPullman,JessicaHecht,DohnNorwood,AdamLeFevre",103885
20,NCIS,2003– ,TV-14,60,"Action, Crime, Drama",7.7,NA,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","Stars:MarkHarmon,DavidMcCallum,SeanMurray,PauleyPerrette",133495
21,DC League of Super-Pets,2022,NA,NA,"Animation, Action, Adventure",NA,NA,Superman's dog teams up with a flying cat to stop crime while Superman is on vacation.,"Directors:JaredStern,SamLevine|Stars:DwayneJohnson,KevinHart,KateMcKinnon,JohnKrasinski",
22,Money Heist,2017–2021,TV-MA,70,"Action, Crime, Drama",8.2,NA,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,"Stars:ÚrsulaCorberó,ÁlvaroMorte,ItziarItuño,PedroAlonso",405264
23,Criminal Minds,2005–2020,TV-14,42,"Crime, Drama, Mystery",8.1,NA,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.","Stars:MatthewGrayGubler,KirstenVangsness,A.J.Cook,JoeMantegna",180637
24,Castle,2009–2016,TV-14,43,"Comedy, Crime, Drama",8.1,NA,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.","Stars:NathanFillion,StanaKatic,SusanSullivan,JonHuertas",151256
25,West Side Story,2021,PG-13,156,"Crime, Drama, Musical",NA,NA,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.","Director:StevenSpielberg|Stars:AnselElgort,RachelZegler,ArianaDeBose,DavidAlvarez",
26,Law & Order: Special Victims Unit,1999– ,TV-14,60,"Crime, Drama, Mystery",8.0,NA,"This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes.","Stars:MariskaHargitay,ChristopherMeloni,Ice-T,DannFlorek",94855
27,The Batman,2022,NA,NA,"Action, Crime, Drama",NA,NA,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.","Director:MattReeves|Stars:BarryKeoghan,PeterSarsgaard,AndySerkis,RobertPattinson",
28,Tiger King,2020–2021,TV-MA,45,"Documentary, Biography, Crime",7.5,NA,"A rivalry between big cat eccentrics takes a dark turn when Joe Exotic, a controversial animal park boss, is caught in a murder-for-hire plot.","Stars:JohnReinke,KelciSaffery,JohnFinlay,RickKirkham",73978
29,Lucifer,2016–2021,TV-14,42,"Crime, Drama, Fantasy",8.1,NA,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Stars:TomEllis,LaurenGerman,KevinAlejandro,D.B.Woodside",295739
