,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,The Wheel of Time,2021– ,TV-14,60,"Action, Adventure, Drama",7.5,NA,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan.","Stars:RosamundPike,DanielHenney,MadeleineMadden,ZoëRobins",29660
1,Arcane,2021– ,TV-14,41,"Animation, Action, Adventure",9.3,NA,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","Stars:KevinAlejandro,JasonSpisak,HaileeSteinfeld,HarryLloyd",73711
2,Hawkeye,2021,TV-14,60,"Action, Adventure, Crime",8.1,NA,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate M. Bishop, who took on the role after the original Avenger, Clint Barton.","Stars:JeremyRenner,HaileeSteinfeld,FlorencePugh,TonyDalton",13629
3,Cowboy Bebop,2021– ,TV-MA,58,"Action, Adventure, Crime",6.7,NA,A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world - for the right price.,"Stars:JohnCho,MustafaShakir,DaniellaPineda,ElenaSatine",18402
4,House of Gucci,2021,R,158,"Crime, Drama",7.0,NA,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.","Director:RidleyScott|Stars:LadyGaga,AdamDriver,AlPacino,JeremyIrons",13115
5,Yellowstone,2018– ,TV-MA,60,"Drama, Western",8.7,NA,A ranching family in Montana faces off against others encroaching on their land.,"Stars:BreckenMerrill,KevinCostner,LukeGrimes,KellyReilly",64962
6,"tick, tick...BOOM!",2021,PG-13,115,"Biography, Drama, Musical",7.7,NA,"On the cusp of his 30th birthday, a promising young theater composer navigates love, friendship and the pressures of life as an artist in New York City.","Director:Lin-ManuelMiranda|Stars:AndrewGarfield,AlexandraShipp,RobindeJesus,VanessaHudgens",19098
7,Hellbound,2021– ,TV-MA,150,"Crime, Drama, Fantasy",6.7,NA,"People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them.","Stars:YooAh-in,KimHyun-joo,JeongMinPark,Jin-ahWon",9292
8,Succession,2018– ,TV-MA,60,Drama,8.7,NA,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","Stars:NicholasBraun,BrianCox,KieranCulkin,PeterFriedman",84271
9,Dune,2021,PG-13,155,"Action, Adventure, Drama",8.2,74,"Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.","Director:DenisVilleneuve|Stars:TimothéeChalamet,RebeccaFerguson,Zendaya,OscarIsaac",358330
10,Dexter: New Blood,2021– ,TV-MA,NA,"Crime, Drama, Mystery",9.0,NA,"Set 10 years after Dexter Morgan went missing in the eye of Hurricane Laura, he is now living under an assumed name in Upstate New York, Iron Lake, far from his original home in Miami.","Stars:JuliaJones,JohnnySequoyah,JenniferCarpenter,MichaelC.Hall",16366
11,Last Night in Soho,2021,R,116,"Drama, Horror, Mystery",7.3,65,An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.,"Director:EdgarWright|Stars:ThomasinMcKenzie,AnyaTaylor-Joy,MattSmith,DianaRigg",47141
12,King Richard,2021,PG-13,144,"Biography, Drama, Sport",7.6,71,A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.,"Director:ReinaldoMarcusGreen|Stars:WillSmith,AunjanueEllis,JonBernthal,SaniyyaSidney",14875
13,The Great,2020– ,TV-MA,45,"Biography, Comedy, Drama",8.1,NA,"A royal woman living in rural Russia during the 18th century is forced to choose between her own personal happiness and the future of Russia, when she marries an Emperor.","Stars:ElleFanning,NicholasHoult,PhoebeFox,SachaDhawan",27400
14,True Story,III 2021,TV-MA,260,"Crime, Drama, Thriller",7.7,NA,A tour stop in Kid's hometown of Philadelphia becomes a matter of life and death for one of the world's most famous comedians.,"Stars:KevinHart,WesleySnipes,WilliamCatlett,PaulAdelstein",4641
15,Pam & Tommy,2022– ,TV-MA,65,"Biography, Drama, Romance",NA,NA,Follows the story of their relationship going back to their whirlwind romance that started with them marrying after only knowing each other for 96 hours in 1995.,"Stars:LilyJames,SebastianStan,NickOfferman,TaylorSchilling",
16,Spencer,2021,R,117,"Biography, Drama",7.0,77,"During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana Spencer, struggling with mental health problems, decides to end her decade-long marriage to Prince Charles.","Director:PabloLarraín|Stars:KristenStewart,TimothySpall,JackNielen,FreddieSpry",14521
17,Dopesick,2021,TV-MA,60,Drama,8.8,NA,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.","Stars:MichaelKeaton,PeterSarsgaard,MichaelStuhlbarg,WillPoulter",14384
18,Squid Game,2021– ,TV-MA,55,"Action, Drama, Mystery",8.1,NA,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.","Stars:LeeJung-jae,ParkHae-soo,WiHa-Joon,JungHoyeon",327159
19,Game of Thrones,2011–2019,TV-MA,57,"Action, Adventure, Drama",9.2,NA,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Stars:EmiliaClarke,PeterDinklage,KitHarington,LenaHeadey",1906599
20,Foundation,2021– ,TV-14,60,"Drama, Sci-Fi",7.4,NA,A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire.,"Stars:LouLlobell,JaredHarris,LeePace,LeahHarvey",35571
21,Jai Bhim,2021,NA,164,"Crime, Drama",9.5,NA,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Director:T.J.Gnanavel|Stars:Suriya,LijoMolJose,Manikandan,RajishaVijayan",146802
22,You,2018– ,TV-MA,45,"Crime, Drama, Romance",7.7,NA,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","Stars:PennBadgley,VictoriaPedretti,AmbyrChilders,ElizabethLail",205298
23,Yellowjackets,2021– ,TV-MA,NA,"Drama, Horror, Mystery",7.9,NA,A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Ontario wilderness.,"Stars:MelanieLynskey,SophieThatcher,TawnyCypress,EllaPurnell",2332
24,Dexter,2006–2013,TV-MA,53,"Crime, Drama, Mystery",8.6,NA,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","Stars:MichaelC.Hall,JenniferCarpenter,DavidZayas,JamesRemar",688352
25,Ted Lasso,2020– ,TV-MA,30,"Comedy, Drama, Sport",8.8,NA,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.","Stars:JasonSudeikis,BrettGoldstein,BrendanHunt,NickMohammed",139493
26,Mayor of Kingstown,2021– ,TV-MA,NA,"Crime, Drama, Thriller",7.8,NA,"The McLusky family are power brokers tackling themes of systemic racism, corruption and inequality in Kingstown, Michigan--where the business of incarceration is the only thriving industry.","Stars:JeremyRenner,DianneWiest,HughDillon,TaylorHandley",2804
27,The Morning Show,I 2019– ,TV-MA,60,Drama,8.3,NA,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.","Stars:JenniferAniston,ReeseWitherspoon,BillyCrudup,MarkDuplass",82727
28,Doctor Who,2005– ,TV-PG,45,"Adventure, Drama, Family",8.6,NA,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Stars:JodieWhittaker,PeterCapaldi,PearlMackie,MattSmith",211119
29,Bruised,2020,R,129,"Drama, Sport",6.1,NA,A disgraced MMA fighter finds redemption in the cage and the courage to face her demons when the son she had given up as an infant unexpectedly reenters her life.,"Director:HalleBerry|Stars:HalleBerry,AdanCanto,SheilaAtim,AdrianeLenox",4737
30,The Humans,2021,R,108,Drama,6.1,78,"Set inside a pre-war duplex in downtown Manhattan, The Humans follows the course of an evening in which the Blake family gathers to celebrate Thanksgiving. As darkness falls outside the ...                See full summary »","Director:StephenKaram|Stars:RichardJenkins,JayneHoudyshell,AmySchumer,BeanieFeldstein",1501
31,The Harder They Fall,2021,R,139,"Action, Drama, Western",6.6,68,"When an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge in this Western.","Director:JeymesSamuel|Stars:JonathanMajors,ZazieBeetz,RJCyler,EdiGathegi",38922
32,The French Dispatch,2021,R,107,"Comedy, Drama, Romance",7.5,74,"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","Director:WesAnderson|Stars:BenicioDelToro,AdrienBrody,TildaSwinton,LéaSeydoux",31036
33,The Last Duel,2021,R,152,"Action, Drama, History",7.7,67,King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,"Director:RidleyScott|Stars:MattDamon,AdamDriver,JodieComer,HarrietWalter",25132
34,Narcos: Mexico,2018–2021,TV-MA,50,"Crime, Drama",8.4,NA,The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.,"Stars:ScootMcNairy,JoséMaríaYazpik,AlejandroEdda,AlfonsoDosal",74285
