,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,The Wheel of Time,2021– ,TV-14,60,"Action, Adventure, Drama",7.5,NA,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan.","Stars:RosamundPike,DanielHenney,MadeleineMadden,ZoëRobins",29660
1,Arcane,2021– ,TV-14,41,"Animation, Action, Adventure",9.3,NA,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","Stars:KevinAlejandro,JasonSpisak,HaileeSteinfeld,HarryLloyd",73711
2,Cowboy Bebop,2021– ,TV-MA,58,"Action, Adventure, Crime",6.7,NA,A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world - for the right price.,"Stars:JohnCho,MustafaShakir,DaniellaPineda,ElenaSatine",18402
3,Ghostbusters: Afterlife,2021,PG-13,124,"Adventure, Comedy, Fantasy",7.7,59,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","Director:JasonReitman|Stars:CarrieCoon,PaulRudd,FinnWolfhard,MckennaGrace",31243
4,Hellbound,2021– ,TV-MA,150,"Crime, Drama, Fantasy",6.7,NA,"People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them.","Stars:YooAh-in,KimHyun-joo,JeongMinPark,Jin-ahWon",9292
5,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,132,"Action, Adventure, Fantasy",7.6,71,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","Director:DestinDanielCretton|Stars:SimuLiu,Awkwafina,TonyChiu-WaiLeung,BenKingsley",220911
6,Eternals,2021,PG-13,156,"Action, Adventure, Fantasy",6.8,52,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","Director:ChloéZhao|Stars:GemmaChan,RichardMadden,AngelinaJolie,SalmaHayek",110248
7,Encanto,2021,PG,99,"Animation, Adventure, Comedy",7.7,NA,A young Colombian girl has to face the frustration of being the only member of her family without magical powers.,"Directors:JaredBush,ByronHoward,ChariseCastroSmith|Stars:StephanieBeatriz,MaríaCeciliaBotero,JohnLeguizamo,MauroCastillo",5604
8,Game of Thrones,2011–2019,TV-MA,57,"Action, Adventure, Drama",9.2,NA,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Stars:EmiliaClarke,PeterDinklage,KitHarington,LenaHeadey",1906599
9,Jungle Cruise,2021,PG-13,127,"Action, Adventure, Comedy",6.6,50,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,"Director:JaumeCollet-Serra|Stars:DwayneJohnson,EmilyBlunt,EdgarRamírez,JackWhitehall",143994
10,Ghostbusters,1984,PG,105,"Action, Comedy, Fantasy",7.8,71,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.","Director:IvanReitman|Stars:BillMurray,DanAykroyd,SigourneyWeaver,HaroldRamis",384213
11,8-Bit Christmas,2021,PG,97,"Comedy, Family, Fantasy",6.8,NA,"In 1980s Chicago, a ten-year-old sets out on a quest to get the Christmas gift of his generation - the latest and greatest video game system.","Director:MichaelDowse|Stars:WinslowFegley,NeilPatrickHarris,SteveZahn,JuneDianeRaphael",3350
12,Free Guy,2021,PG-13,115,"Action, Adventure, Comedy",7.2,62,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","Director:ShawnLevy|Stars:RyanReynolds,JodieComer,TaikaWaititi,LilRelHowery",218636
13,A Boy Called Christmas,2021,PG,106,"Adventure, Drama, Family",6.8,NA,"In this origin story of Father Christmas, an ordinary boy (with a loyal pet mouse and a reindeer at his side) sets out on an extraordinary adventure to find his father who is on a quest to discover the fabled village of Elfhelm.","Director:GilKenan|Stars:MaggieSmith,IsabellaO'Sullivan,JoelFry,EdenLawrence",3913
14,The Witcher,2019– ,TV-MA,60,"Action, Adventure, Drama",8.2,NA,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Stars:HenryCavill,AnnaShaffer,FreyaAllan,SimonCallow",365484
15,Midnight Mass,2021,TV-MA,450,"Drama, Fantasy, Horror",7.7,NA,"An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest.","Stars:KateSiegel,ZachGilford,KristinLehman,SamanthaSloyan",79675
16,Stranger Things,2016– ,TV-14,51,"Drama, Fantasy, Horror",8.7,NA,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Stars:MillieBobbyBrown,FinnWolfhard,WinonaRyder,DavidHarbour",936125
17,The Mandalorian,2019– ,TV-14,40,"Action, Adventure, Fantasy",8.8,NA,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Stars:PedroPascal,CarlWeathers,BarryLowin,GinaCarano",371183
18,Invasion,2021– ,TV-MA,60,"Drama, Fantasy, Sci-Fi",5.9,NA,Earth is visited by an alien species that threatens humanity's existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.,"Stars:GolshiftehFarahani,ShamierAnderson,ShioliKutsuna,FirasNassar",12595
19,Clifford the Big Red Dog,2021,PG,96,"Adventure, Comedy, Family",6.0,58,A young girl's love for a tiny puppy named Clifford makes the dog grow to an enormous size.,"Director:WaltBecker|Stars:DarbyCamp,JackWhitehall,IzaacWang,JohnCleese",4420
20,Locke & Key,2020– ,TV-14,48,"Drama, Fantasy, Horror",7.4,NA,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.","Stars:DarbyStanchfield,ConnorJessup,EmiliaJones,JacksonRobertScott",66355
21,DC League of Super-Pets,2022,NA,NA,"Animation, Action, Adventure",NA,NA,Superman's dog teams up with a flying cat to stop crime while Superman is on vacation.,"Directors:JaredStern,SamLevine|Stars:DwayneJohnson,KevinHart,KateMcKinnon,JohnKrasinski",
22,Supernatural,2005–2020,TV-14,44,"Drama, Fantasy, Horror",8.4,NA,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","Stars:JaredPadalecki,JensenAckles,JimBeaver,MishaCollins",414740
23,Harry Potter and the Sorcerer's Stone,2001,PG,152,"Adventure, Family, Fantasy",7.6,65,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","Director:ChrisColumbus|Stars:DanielRadcliffe,RupertGrint,RichardHarris,MaggieSmith",711686
24,Lucifer,2016–2021,TV-14,42,"Crime, Drama, Fantasy",8.1,NA,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Stars:TomEllis,LaurenGerman,KevinAlejandro,D.B.Woodside",295739
25,Outlander,2014– ,TV-MA,60,"Drama, Fantasy, Romance",8.4,NA,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"Stars:CaitrionaBalfe,SamHeughan,DuncanLacroix,SophieSkelton",140974
26,Masters of the Universe: Revelation,2021– ,TV-PG,25,"Animation, Action, Adventure",5.2,NA,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Stars:ChrisWood,SarahMichelleGellar,LenaHeadey,MarkHamill",23905
27,What We Do in the Shadows,2016– ,TV-MA,30,"Comedy, Fantasy, Horror",8.6,NA,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.","Stars:KayvanNovak,MattBerry,NatasiaDemetriou,HarveyGuillén",56754
28,Attack on Titan,2013–2022,TV-MA,24,"Animation, Action, Adventure",9.0,NA,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Stars:YûkiKaji,MarinaInoue,JoshGrelle,YuiIshikawa",261112
29,Loki,2021– ,TV-14,NA,"Action, Adventure, Fantasy",8.3,NA,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,"Stars:TomHiddleston,OwenWilson,GuguMbatha-Raw,SophiaDiMartino",228641
30,The Vampire Diaries,2009–2017,TV-14,43,"Drama, Fantasy, Horror",7.7,NA,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","Stars:NinaDobrev,PaulWesley,IanSomerhalder,KatGraham",301294
31,One Piece,1999– ,TV-14,24,"Animation, Action, Adventure",8.8,NA,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Stars:MayumiTanaka,TonyBeck,LaurentVernin,AkemiOkamura",89013
32,Legacies,2018– ,TV-14,45,"Adventure, Drama, Fantasy",7.4,NA,"Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world.","Stars:DanielleRoseRussell,QuincyFouse,MatthewDavis,AriaShahghasemi",25584
33,Elf,2003,PG,97,"Adventure, Comedy, Family",7.0,64,"Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit.","Director:JonFavreau|Stars:WillFerrell,JamesCaan,BobNewhart,ZooeyDeschanel",242355
