,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,Hellbound,2021– ,TV-MA,150,"Crime, Drama, Fantasy",6.7,NA,"People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them.","Stars:YooAh-in,KimHyun-joo,JeongMinPark,Jin-ahWon",9292
1,Last Night in Soho,2021,R,116,"Drama, Horror, Mystery",7.3,65,An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.,"Director:EdgarWright|Stars:ThomasinMcKenzie,AnyaTaylor-Joy,MattSmith,DianaRigg",47141
2,Resident Evil: Welcome to Raccoon City,2021,R,107,"Action, Horror, Sci-Fi",5.6,NA,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.","Director:JohannesRoberts|Stars:KayaScodelario,RobbieAmell,HannahJohn-Kamen,NealMcDonough",3414
3,Yellowjackets,2021– ,TV-MA,NA,"Drama, Horror, Mystery",7.9,NA,A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Ontario wilderness.,"Stars:MelanieLynskey,SophieThatcher,TawnyCypress,EllaPurnell",2332
4,The Walking Dead,2010–2022,TV-14,44,"Drama, Horror, Thriller",8.2,NA,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Stars:AndrewLincoln,NormanReedus,MelissaMcBride,LaurenCohan",914343
5,Black Friday,III 2021,NA,84,"Comedy, Horror",4.7,NA,A group of toy store employees must protect each other from a horde of parasite infected shoppers.,"Director:CaseyTebo|Stars:DevonSawa,IvanaBaquero,RyanLee,StephenPeck",2113
6,Midnight Mass,2021,TV-MA,450,"Drama, Fantasy, Horror",7.7,NA,"An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest.","Stars:KateSiegel,ZachGilford,KristinLehman,SamanthaSloyan",79675
7,Stranger Things,2016– ,TV-14,51,"Drama, Fantasy, Horror",8.7,NA,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Stars:MillieBobbyBrown,FinnWolfhard,WinonaRyder,DavidHarbour",936125
8,American Horror Story,2011– ,TV-MA,60,"Drama, Horror, Thriller",8.0,NA,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and desert valley.","Stars:LadyGaga,KathyBates,AngelaBassett,SarahPaulson",300736
9,Chucky,2021– ,TV-MA,42,"Horror, Mystery, Thriller",7.5,NA,"After a vintage Chucky doll turns up at a suburban yard sale, an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town's hypocrisies and secrets.","Stars:ZackaryArthur,BjorgvinArnarson,AlyviaAlynLind,TeoBriones",9059
10,Locke & Key,2020– ,TV-14,48,"Drama, Fantasy, Horror",7.4,NA,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.","Stars:DarbyStanchfield,ConnorJessup,EmiliaJones,JacksonRobertScott",66355
