,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,Hawkeye,2021,TV-14,60,"Action, Adventure, Crime",8.1,NA,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate M. Bishop, who took on the role after the original Avenger, Clint Barton.","Stars:JeremyRenner,HaileeSteinfeld,FlorencePugh,TonyDalton",13629
1,Hellbound,2021– ,TV-MA,150,"Crime, Drama, Fantasy",6.7,NA,"People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them.","Stars:YooAh-in,KimHyun-joo,JeongMinPark,Jin-ahWon",9292
2,Dexter: New Blood,2021– ,TV-MA,NA,"Crime, Drama, Mystery",9.0,NA,"Set 10 years after Dexter Morgan went missing in the eye of Hurricane Laura, he is now living under an assumed name in Upstate New York, Iron Lake, far from his original home in Miami.","Stars:JuliaJones,JohnnySequoyah,JenniferCarpenter,MichaelC.Hall",16366
3,Last Night in Soho,2021,R,116,"Drama, Horror, Mystery",7.3,65,An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.,"Director:EdgarWright|Stars:ThomasinMcKenzie,AnyaTaylor-Joy,MattSmith,DianaRigg",47141
4,Squid Game,2021– ,TV-MA,55,"Action, Drama, Mystery",8.1,NA,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.","Stars:LeeJung-jae,ParkHae-soo,WiHa-Joon,JungHoyeon",327159
5,Yellowjackets,2021– ,TV-MA,NA,"Drama, Horror, Mystery",7.9,NA,A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Ontario wilderness.,"Stars:MelanieLynskey,SophieThatcher,TawnyCypress,EllaPurnell",2332
6,Dexter,2006–2013,TV-MA,53,"Crime, Drama, Mystery",8.6,NA,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","Stars:MichaelC.Hall,JenniferCarpenter,DavidZayas,JamesRemar",688352
7,Doctor Who,2005– ,TV-PG,45,"Adventure, Drama, Family",8.6,NA,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Stars:JodieWhittaker,PeterCapaldi,PearlMackie,MattSmith",211119
8,The Witcher,2019– ,TV-MA,60,"Action, Adventure, Drama",8.2,NA,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Stars:HenryCavill,AnnaShaffer,FreyaAllan,SimonCallow",365484
9,The Blacklist,2013– ,TV-14,43,"Crime, Drama, Mystery",8.0,NA,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","Stars:JamesSpader,MeganBoone,DiegoKlattenhoff,RyanEggold",225020
10,Midnight Mass,2021,TV-MA,450,"Drama, Fantasy, Horror",7.7,NA,"An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest.","Stars:KateSiegel,ZachGilford,KristinLehman,SamanthaSloyan",79675
11,Stranger Things,2016– ,TV-14,51,"Drama, Fantasy, Horror",8.7,NA,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Stars:MillieBobbyBrown,FinnWolfhard,WinonaRyder,DavidHarbour",936125
12,The Lost Symbol,2021– ,TV-PG,NA,"Action, Adventure, Drama",6.6,NA,"Based on the 2009 Dan Brown novel of the same name, The Lost Symbol is the story of a young Robert Langdon (Ashley Zukerman) being tasked by the CIA to solve a number of puzzles when his mentor (Eddie Izzard) is taken.","Stars:AshleyZukerman,EddieIzzard,ValorieCurry,BeauKnapp",6454
13,The Sinner,2017–2021,TV-MA,45,"Crime, Drama, Mystery",7.9,NA,Anthology series that examines how and why ordinary people commit brutal crimes.,"Stars:BillPullman,JessicaHecht,DohnNorwood,AdamLeFevre",103885
14,Chucky,2021– ,TV-MA,42,"Horror, Mystery, Thriller",7.5,NA,"After a vintage Chucky doll turns up at a suburban yard sale, an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town's hypocrisies and secrets.","Stars:ZackaryArthur,BjorgvinArnarson,AlyviaAlynLind,TeoBriones",9059
