,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,Pam & Tommy,2022– ,TV-MA,65,"Biography, Drama, Romance",NA,NA,Follows the story of their relationship going back to their whirlwind romance that started with them marrying after only knowing each other for 96 hours in 1995.,"Stars:LilyJames,SebastianStan,NickOfferman,TaylorSchilling",
1,You,2018– ,TV-MA,45,"Crime, Drama, Romance",7.7,NA,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","Stars:PennBadgley,VictoriaPedretti,AmbyrChilders,ElizabethLail",205298
2,The French Dispatch,2021,R,107,"Comedy, Drama, Romance",7.5,74,"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","Director:WesAnderson|Stars:BenicioDelToro,AdrienBrody,TildaSwinton,LéaSeydoux",31036
3,Grey's Anatomy,2005– ,TV-14,41,"Drama, Romance",7.5,NA,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"Stars:EllenPompeo,ChandraWilson,JamesPickensJr.,JustinChambers",279859
4,Love Hard,2021,TV-MA,104,"Comedy, Romance",6.3,42,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in love.","Director:HernanJimenez|Stars:NinaDobrev,JimmyO.Yang,DarrenBarnet,JamesSaito",28590
5,The Power of the Dog,2021,R,126,"Drama, Romance, Western",6.9,90,"Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.","Director:JaneCampion|Stars:BenedictCumberbatch,KirstenDunst,JessePlemons,KodiSmit-McPhee",5622
6,Big Mouth,2017– ,TV-MA,30,"Animation, Comedy, Romance",7.9,NA,Teenage friends find their lives upended by the wonders and horrors of puberty.,"Stars:NickKroll,JohnMulaney,JessiKlein,JasonMantzoukas",69185
7,Friends,1994–2004,TV-PG,22,"Comedy, Romance",8.8,NA,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"Stars:JenniferAniston,CourteneyCox,LisaKudrow,MattLeBlanc",913927
8,Licorice Pizza,2021,R,133,"Comedy, Drama, Romance",8.8,NA,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.","Director:PaulThomasAnderson|Stars:AlanaHaim,CooperHoffman,SeanPenn,TomWaits",504
9,The Big Bang Theory,2007–2019,TV-PG,22,"Comedy, Romance",8.1,NA,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,"Stars:JohnnyGalecki,JimParsons,KaleyCuoco,SimonHelberg",759767
10,Castle,2009–2016,TV-14,43,"Comedy, Crime, Drama",8.1,NA,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.","Stars:NathanFillion,StanaKatic,SusanSullivan,JonHuertas",151256
11,West Side Story,2021,PG-13,156,"Crime, Drama, Musical",NA,NA,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.","Director:StevenSpielberg|Stars:AnselElgort,RachelZegler,ArianaDeBose,DavidAlvarez",
12,Downton Abbey,2010–2015,TV-PG,58,"Drama, Romance",8.7,NA,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"Stars:HughBonneville,PhyllisLogan,ElizabethMcGovern,BrendanCoyle",184873
13,Vikings,2013–2020,TV-MA,44,"Action, Adventure, Drama",8.5,NA,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Stars:KatherynWinnick,GustafSkarsgård,AlexanderLudwig,GeorgiaHirst",478745
14,Outlander,2014– ,TV-MA,60,"Drama, Fantasy, Romance",8.4,NA,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"Stars:CaitrionaBalfe,SamHeughan,DuncanLacroix,SophieSkelton",140974
15,Riverdale,2017– ,TV-14,45,"Crime, Drama, Mystery",6.7,NA,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","Stars:LiliReinhart,K.J.Apa,CamilaMendes,ColeSprouse",133331
16,Modern Family,2009–2020,TV-PG,22,"Comedy, Drama, Romance",8.4,NA,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"Stars:EdO'Neill,SofíaVergara,JulieBowen,TyBurrell",392927
17,365 Days,2020,TV-MA,114,"Drama, Romance",3.3,NA,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","Directors:BarbaraBialowas,TomaszMandes|Stars:AnnaMariaSieklucka,MicheleMorrone,BronislawWroclawski,OtarSaralidze",69910
18,The Princess Switch 3,2021,TV-PG,106,"Comedy, Drama, Family",5.6,NA,"When a priceless relic is stolen, Queen Margaret and Princess Stacy enlist the help of Margaret's cousin Fiona teams with a man from her past to retrieve it, with romance and resulting in a very unexpected switch.","Director:MikeRohl|Stars:VanessaHudgens,RemyHii,SamPalladio,NickSagar",2331
19,Love Actually,2003,R,135,"Comedy, Drama, Romance",7.6,55,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.","Director:RichardCurtis|Stars:HughGrant,MartineMcCutcheon,LiamNeeson,LauraLinney",451550
20,A Castle for Christmas,2021,TV-G,98,"Adventure, Comedy, Family",5.6,NA,"To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle - and faces off with the grumpy duke who owns it.","Director:MaryLambert|Stars:BrookeShields,CaryElwes,LeeRoss,AndiOsho",2865
21,The Vampire Diaries,2009–2017,TV-14,43,"Drama, Fantasy, Horror",7.7,NA,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","Stars:NinaDobrev,PaulWesley,IanSomerhalder,KatGraham",301294
22,How I Met Your Mother,2005–2014,TV-14,22,"Comedy, Romance",8.3,NA,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"Stars:JoshRadnor,JasonSegel,CobieSmulders,NeilPatrickHarris",640380
23,Elf,2003,PG,97,"Adventure, Comedy, Family",7.0,64,"Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit.","Director:JonFavreau|Stars:WillFerrell,JamesCaan,BobNewhart,ZooeyDeschanel",242355
24,The Holiday,2006,PG-13,136,"Comedy, Romance",6.9,52,"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.","Director:NancyMeyers|Stars:KateWinslet,CameronDiaz,JudeLaw,JackBlack",266217
25,Gossip Girl,2021– ,TV-MA,60,"Drama, Romance",5.2,NA,Revival of the TV series centering on a new generation of New York private school teens using social media to spread gossip.,"Stars:JordanAlexander,WhitneyPeak,TaviGevinson,EliBrown",7762
26,Bones,2005–2017,TV-14,40,"Comedy, Crime, Drama",7.8,NA,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.","Stars:EmilyDeschanel,DavidBoreanaz,MichaelaConlin,T.J.Thyne",149322
27,This Is Us,2016–2022,TV-14,45,"Comedy, Drama, Romance",8.6,NA,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.","Stars:MiloVentimiglia,MandyMoore,SterlingK.Brown,ChrissyMetz",120870
28,Titanic,1997,PG-13,194,"Drama, Romance",7.8,75,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","Director:JamesCameron|Stars:LeonardoDiCaprio,KateWinslet,BillyZane,KathyBates",1105646
29,Love,II 2015,TV-MA,135,"Drama, Romance",6.1,51,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","Director:GasparNoé|Stars:AomiMuyock,KarlGlusman,KlaraKristin,JuanSaavedra",53971
30,ER,1994–2009,TV-14,44,"Drama, Romance",7.8,NA,"The lives, loves and losses of the doctors and nurses of Chicago's County General Hospital.","Stars:AnthonyEdwards,GeorgeClooney,JuliannaMargulies,EriqLaSalle",55823
31,The King,I 2019,R,140,"Biography, Drama, History",7.3,62,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.","Director:DavidMichôd|Stars:TomGlynn-Carney,GáborCzap,TomFisher,EdwardAshley",108842
32,Benedetta,2021,NA,131,"Biography, Drama, History",6.6,69,"A 17th-century nun in Italy suffers from disturbing religious and erotic visions. She is assisted by a companion, and the relationship between the two women develops into a romantic love affair.","Director:PaulVerhoeven|Stars:VirginieEfira,CharlotteRampling,DaphnePatakia,LambertWilson",4598
