,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,Arcane,2021– ,TV-14,41,"Animation, Action, Adventure",9.3,NA,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.","Stars:KevinAlejandro,JasonSpisak,HaileeSteinfeld,HarryLloyd",73711
1,Hawkeye,2021,TV-14,60,"Action, Adventure, Crime",8.1,NA,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate M. Bishop, who took on the role after the original Avenger, Clint Barton.","Stars:JeremyRenner,HaileeSteinfeld,FlorencePugh,TonyDalton",13629
2,Cowboy Bebop,2021– ,TV-MA,58,"Action, Adventure, Crime",6.7,NA,A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world - for the right price.,"Stars:JohnCho,MustafaShakir,DaniellaPineda,ElenaSatine",18402
3,Ghostbusters: Afterlife,2021,PG-13,124,"Adventure, Comedy, Fantasy",7.7,59,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","Director:JasonReitman|Stars:CarrieCoon,PaulRudd,FinnWolfhard,MckennaGrace",31243
4,Spider-Man: No Way Home,2021,NA,NA,"Action, Adventure, Sci-Fi",NA,NA,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Director:JonWatts|Stars:Zendaya,BenedictCumberbatch,TomHolland,MarisaTomei",
5,Dune,2021,PG-13,155,"Action, Adventure, Drama",8.2,74,"Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.","Director:DenisVilleneuve|Stars:TimothéeChalamet,RebeccaFerguson,Zendaya,OscarIsaac",358330
6,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,132,"Action, Adventure, Fantasy",7.6,71,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","Director:DestinDanielCretton|Stars:SimuLiu,Awkwafina,TonyChiu-WaiLeung,BenKingsley",220911
7,Eternals,2021,PG-13,156,"Action, Adventure, Fantasy",6.8,52,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","Director:ChloéZhao|Stars:GemmaChan,RichardMadden,AngelinaJolie,SalmaHayek",110248
8,Venom: Let There Be Carnage,2021,PG-13,97,"Action, Adventure, Sci-Fi",6.1,48,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.","Director:AndySerkis|Stars:TomHardy,WoodyHarrelson,MichelleWilliams,NaomieHarris",96084
9,Resident Evil: Welcome to Raccoon City,2021,R,107,"Action, Horror, Sci-Fi",5.6,NA,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.","Director:JohannesRoberts|Stars:KayaScodelario,RobbieAmell,HannahJohn-Kamen,NealMcDonough",3414
