,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
0,Red Notice,2021,PG-13,118,"Action, Adventure, Comedy",6.4,39,An Interpol agent tracks the world's most wanted art thief.,"Director:RawsonMarshallThurber|Stars:DwayneJohnson,RyanReynolds,GalGadot,RituArya",138513
1,Hellbound,2021– ,TV-MA,150,"Crime, Drama, Fantasy",6.7,NA,"People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them.","Stars:YooAh-in,KimHyun-joo,JeongMinPark,Jin-ahWon",9292
2,No Time to Die,2021,PG-13,163,"Action, Adventure, Thriller",7.4,68,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","Director:CaryJojiFukunaga|Stars:DanielCraig,AnadeArmas,RamiMalek,LéaSeydoux",217333
3,Last Night in Soho,2021,R,116,"Drama, Horror, Mystery",7.3,65,An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.,"Director:EdgarWright|Stars:ThomasinMcKenzie,AnyaTaylor-Joy,MattSmith,DianaRigg",47141
4,Venom: Let There Be Carnage,2021,PG-13,97,"Action, Adventure, Sci-Fi",6.1,48,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.","Director:AndySerkis|Stars:TomHardy,WoodyHarrelson,MichelleWilliams,NaomieHarris",96084
5,True Story,III 2021,TV-MA,260,"Crime, Drama, Thriller",7.7,NA,A tour stop in Kid's hometown of Philadelphia becomes a matter of life and death for one of the world's most famous comedians.,"Stars:KevinHart,WesleySnipes,WilliamCatlett,PaulAdelstein",4641
6,Squid Game,2021– ,TV-MA,55,"Action, Drama, Mystery",8.1,NA,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.","Stars:LeeJung-jae,ParkHae-soo,WiHa-Joon,JungHoyeon",327159
7,You,2018– ,TV-MA,45,"Crime, Drama, Romance",7.7,NA,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","Stars:PennBadgley,VictoriaPedretti,AmbyrChilders,ElizabethLail",205298
8,Yellowjackets,2021– ,TV-MA,NA,"Drama, Horror, Mystery",7.9,NA,A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Ontario wilderness.,"Stars:MelanieLynskey,SophieThatcher,TawnyCypress,EllaPurnell",2332
9,Dexter,2006–2013,TV-MA,53,"Crime, Drama, Mystery",8.6,NA,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","Stars:MichaelC.Hall,JenniferCarpenter,DavidZayas,JamesRemar",688352
